office,district,candidate,party
HOUSE OF DELEGATES,15th District,GEOFF FOSTER,REP
HOUSE OF DELEGATES,15th District,THERESA TESS JACKSON,DEM
HOUSE OF DELEGATES,15th District,MICHAEL A YOUNG,LBN
HOUSE OF DELEGATES,22nd District,ZACK MAYNARD,REP
HOUSE OF DELEGATES,22nd District,JOE JEFFRIES,REP
HOUSE OF DELEGATES,22nd District,JEFF ELDRIDGE,DEM
HOUSE OF DELEGATES,22nd District,CECIL SILVA,DEM
HOUSE OF DELEGATES,38th District,DIANNA GRAVES,REP
HOUSE OF DELEGATES,38th District,NIKKI ARDMAN,DEM
HOUSE OF DELEGATES,48th District,BEN QUEEN,REP
HOUSE OF DELEGATES,48th District,DANNY HAMRICK,REP
HOUSE OF DELEGATES,48th District,CLAY RILEY,REP
HOUSE OF DELEGATES,48th District,LAURA KIMBLE,REP
HOUSE OF DELEGATES,48th District,ROBERT ROB GARCIA,DEM
HOUSE OF DELEGATES,48th District,RYAN DEEMS,DEM
HOUSE OF DELEGATES,48th District,RICHARD J IAQUINTA,DEM
HOUSE OF DELEGATES,48th District,JOSH MAXWELL,DEM
HOUSE OF DELEGATES,48th District,WILL HYMAN,LBN
HOUSE OF DELEGATES,48th District,J STEVE HAMILTON,MTN
HOUSE OF DELEGATES,32nd District,KAYLA KESSINGER,REP
HOUSE OF DELEGATES,32nd District,TOM FAST,REP
HOUSE OF DELEGATES,32nd District,AUSTIN HAYNES,REP
HOUSE OF DELEGATES,32nd District,MARGARET ANNE STAGGERS,DEM
HOUSE OF DELEGATES,32nd District,MARK A HURT,DEM
HOUSE OF DELEGATES,32nd District,SELINA VICKERS,DEM
HOUSE OF DELEGATES,27th District,DOUG SMITH,REP
HOUSE OF DELEGATES,27th District,MARTY GEARHEART,REP
HOUSE OF DELEGATES,27th District,JOE C ELLINGTON,REP
HOUSE OF DELEGATES,27th District,TINA RUSSELL,DEM
HOUSE OF DELEGATES,45th District,CARL ROBBIE MARTIN,REP
HOUSE OF DELEGATES,46th District,ADAM BURKHAMMER,REP
HOUSE OF DELEGATES,46th District,ROBERT BOB STULTZ,DEM
HOUSE OF DELEGATES,46th District,MICHAEL LOCKARD,LBN
HOUSE OF DELEGATES,58th District,GEORGE A MILLER,REP
HOUSE OF DELEGATES,58th District,TOM HARDEN,DEM
HOUSE OF DELEGATES,29th District,BRANDON STEELE,REP
HOUSE OF DELEGATES,29th District,XAVIER OGLESBY,DEM
HOUSE OF DELEGATES,30th District,TYLER TRUMP,REP
HOUSE OF DELEGATES,30th District,MICK BATES,DEM
HOUSE OF DELEGATES,31st District,CHRISTOPHER TONEY,REP
HOUSE OF DELEGATES,16th District,JOHN MANDT,REP
HOUSE OF DELEGATES,16th District,DANIEL LINVILLE,REP
HOUSE OF DELEGATES,16th District,MARK BATES,REP
HOUSE OF DELEGATES,16th District,SEAN HORNBUCKLE,DEM
HOUSE OF DELEGATES,16th District,DAKOTA NELSON,DEM
HOUSE OF DELEGATES,16th District,ANNA LEWIS,DEM
HOUSE OF DELEGATES,23rd District,JOSH HOLSTEIN,REP
HOUSE OF DELEGATES,23rd District,RODNEY A MILLER,DEM
HOUSE OF DELEGATES,24th District,MARGITTA MAZZOCCHI,REP
HOUSE OF DELEGATES,24th District,JORDAN BRIDGES,REP
HOUSE OF DELEGATES,24th District,SUSAN SHELTON PERRY,DEM
HOUSE OF DELEGATES,24th District,TIM TOMBLIN,DEM
HOUSE OF DELEGATES,20th District,NATHAN D BROWN,DEM
HOUSE OF DELEGATES,20th District,MATTHEW W DESKINS,REP
HOUSE OF DELEGATES,52nd District,TERRI FUNK SYPOLT,REP
HOUSE OF DELEGATES,52nd District,JUNIOR JR WOLFE,DEM
HOUSE OF DELEGATES,53rd District,DR BUCK JENNINGS,REP
HOUSE OF DELEGATES,53rd District,CORY CHASE,DEM
HOUSE OF DELEGATES,8th District,BILL ANDERSON,REP
HOUSE OF DELEGATES,8th District,ANDREW ALVAREZ,DEM
HOUSE OF DELEGATES,10th District,JOHN R KELLY,REP
HOUSE OF DELEGATES,10th District,ROGER CONLEY,REP
HOUSE OF DELEGATES,10th District,VERNON CRISS,REP
HOUSE OF DELEGATES,10th District,TRISH PRITCHARD,DEM
HOUSE OF DELEGATES,10th District,LUKE WINTERS,DEM
HOUSE OF DELEGATES,54th District,JOHN PAUL HOTT II,REP
HOUSE OF DELEGATES,56th District,GARY G HOWELL,REP
HOUSE OF DELEGATES,57th District,RUTH ROWAN,REP
HOUSE OF DELEGATES,47th District,CHRIS PHILLIPS,REP
HOUSE OF DELEGATES,47th District,ED LARRY,DEM
HOUSE OF DELEGATES,18th District,EVAN WORRELL,REP
HOUSE OF DELEGATES,18th District,PAUL DAVID ROSS,DEM
HOUSE OF DELEGATES,55th District,BRYAN C WARD,REP
HOUSE OF DELEGATES,55th District,JAROD SHOCKEY,DEM
HOUSE OF DELEGATES,65th District,WAYNE CLARK,REP
HOUSE OF DELEGATES,65th District,SAMMI BROWN,DEM
HOUSE OF DELEGATES,66th District,PAUL ESPINOSA,REP
HOUSE OF DELEGATES,66th District,STORME SHILEY FRAME,DEM
HOUSE OF DELEGATES,67th District,JOHN DOYLE,DEM
HOUSE OF DELEGATES,67th District,ELLIOT SIMON,REP
HOUSE OF DELEGATES,1st District,MARK ZATEZALO,REP
HOUSE OF DELEGATES,1st District,PAT MCGEEHAN,REP
HOUSE OF DELEGATES,1st District,RONNIE D JONES,DEM
HOUSE OF DELEGATES,1st District,JACK WOOD,DEM
HOUSE OF DELEGATES,35th District,MOORE CAPITO,REP
HOUSE OF DELEGATES,35th District,LARRY PACK,REP
HOUSE OF DELEGATES,35th District,TREVOR MORRIS,REP
HOUSE OF DELEGATES,35th District,CHRIS STANSBURY,REP
HOUSE OF DELEGATES,35th District,KATHY FERGUSON,DEM
HOUSE OF DELEGATES,35th District,KAYLA YOUNG,DEM
HOUSE OF DELEGATES,35th District,RUSTY WILLIAMS,DEM
HOUSE OF DELEGATES,35th District,DOUG SKAFF,DEM
HOUSE OF DELEGATES,36th District,STEVIE THAXTON,REP
HOUSE OF DELEGATES,36th District,CHRIS WALTERS,REP
HOUSE OF DELEGATES,36th District,CHRIS PRITT,REP
HOUSE OF DELEGATES,36th District,LARRY L ROWE,DEM
HOUSE OF DELEGATES,36th District,AMANDA ESTEP BURTON,DEM
HOUSE OF DELEGATES,36th District,JIM BARACH,DEM
HOUSE OF DELEGATES,37th District,MIKE PUSHKIN,DEM
HOUSE OF DELEGATES,39th District,DANA FERRELL,REP
HOUSE OF DELEGATES,39th District,DAVID WOODY HOLMES,DEM
HOUSE OF DELEGATES,40th District,DEAN JEFFRIES,REP
HOUSE OF DELEGATES,50th District,GUY WARD,REP
HOUSE OF DELEGATES,50th District,PHIL MALLOW,REP
HOUSE OF DELEGATES,50th District,JOEY GARCIA,DEM
HOUSE OF DELEGATES,50th District,MICHAEL ANGELUCCI,DEM
HOUSE OF DELEGATES,50th District,RONALD J STRAIGHT,DEM
HOUSE OF DELEGATES,50th District,DARTON MCINTIRE,REP
HOUSE OF DELEGATES,41st District,HEATHER TULLY,REP
HOUSE OF DELEGATES,41st District,DUANE BRAGG,DEM
COUNTY COMMISSIONER,,CHRISTOPHER PUDDER,REP
COUNTY COMMISSIONER,,CHRIS SEE,DEM
COUNTY COMMISSIONER,,RL BOB GUNNOE,REP
COUNTY COMMISSIONER,,NIKI LOWE GARRETT,REP
COUNTY COMMISSIONER,,LARRY D GERWIG,DEM
COUNTY COMMISSIONER,,CECIL DALE PATTERSON,DEM
COUNTY COMMISSIONER,,SCOTT G VARNER,DEM
COUNTY COMMISSIONER,,ROBERT A CHERICALO,REP
COUNTY COMMISSIONER,,DANIEL B DOTSON III,DEM
COUNTY COMMISSIONER,,EDDIE GOCHENOUR,REP
COUNTY COMMISSIONER,,JAMES JIM WHITACRE,REP
COUNTY COMMISSIONER,,TONY PETRUCCI,DEM
COUNTY COMMISSIONER,,ROBERT THOMPSON,DEM
COUNTY COMMISSIONER,,DAVID SCHOOLCRAFT,DEM
COUNTY COMMISSIONER,,GREG PUCKETT,REP
COUNTY COMMISSIONER,,RONNIE OAKLEY,
COUNTY COMMISSIONER,,JOEL R TUTTLE,REP
COUNTY COMMISSIONER,,GREG DUCKWORTH,REP
COUNTY COMMISSIONER,,LARRY CLIFTON,REP
COUNTY COMMISSIONER,,GEORGE SKIDMORE,DEM
COUNTY COMMISSIONER,,ROGER D LEATHERMAN,REP
COUNTY COMMISSIONER,,JON BUSH,REP
COUNTY COMMISSIONER,,MICHAEL MIKE ROSENAU,DEM
COUNTY COMMISSIONER,,MERLIN SHAMBLIN,REP
COUNTY COMMISSIONER,,RODNEY D COX,DEM
COUNTY COMMISSIONER,,STEVEN SCHETROM,REP
COUNTY COMMISSIONER,,GREG GREENWALT,DEM
COUNTY COMMISSIONER,,MATT WALKER,REP
COUNTY COMMISSIONER,,RICK SAMPSON,DEM
COUNTY COMMISSIONER,,CRAIG ARTHUR,
COUNTY COMMISSIONER,,JASON E MULLINS,DEM
COUNTY COMMISSIONER,,LINDA LONGSTRETH,DEM
COUNTY COMMISSIONER,,DAVID KENNEDY,REP
COUNTY COMMISSIONER,,LOWELL ROSE,REP
COUNTY COMMISSIONER,,DAN WITHROW,DEM
PROSECUTING ATTORNEY,,MICHAEL W PARKER,DEM
PROSECUTING ATTORNEY,,THEODORE TED DAVITIAN,REP
PROSECUTING ATTORNEY,,GERRY HOUGH,DEM
PROSECUTING ATTORNEY,,BRITTANY R PUCKETT,DEM
PROSECUTING ATTORNEY,,JOE CANESTRARO,DEM
PROSECUTING ATTORNEY,,DWAYNE C VANDEVENDER,DEM
PROSECUTING ATTORNEY,,CATIE WILKES DELLIGATTI,REP
PROSECUTING ATTORNEY,,MATTHEW W DEERFIELD,DEM
PROSECUTING ATTORNEY,,JIM E SAMPLES,DEM
PROSECUTING ATTORNEY,,BRIAN K COCHRAN,REP
PROSECUTING ATTORNEY,,DAN JAMES,REP
PROSECUTING ATTORNEY,,BENJAMIN HATFIELD,REP
PROSECUTING ATTORNEY,,KRISTEN KELLER,DEM
PROSECUTING ATTORNEY,,JASMINE R H MORTON,DEM
PROSECUTING ATTORNEY,,F CODY PANCAKE III,REP
PROSECUTING ATTORNEY,,RAY LAMORA,REP
PROSECUTING ATTORNEY,,SAVANNAH HULL WILKINS,DEM
PROSECUTING ATTORNEY,,JOSHUA W DOWNEY,REP
PROSECUTING ATTORNEY,,LUCAS J SEE,DEM
PROSECUTING ATTORNEY,,NIGEL EVAN JEFFRIES,REP
PROSECUTING ATTORNEY,,SHANNON JONES JOHNSON,DEM
PROSECUTING ATTORNEY,,MICHAEL COCHRANE,DEM
PROSECUTING ATTORNEY,,JEFF FREEMAN,DEM
PROSECUTING ATTORNEY,,PATRICK I VIA,REP
SHERIFF,,ROBERT R ELBON JR,REP
SHERIFF,,JJ JIM WEBLEY,DEM
SHERIFF,,PHIL HUDOK,CST
SHERIFF,,TRAVIS CORBITT,DEM
SHERIFF,,DARRELL NULL,
SHERIFF,,JOHN WM MOSS,DEM
SHERIFF,,JAMES E BOOMER MUNCY JR,DEM
SHERIFF,,KENNETH HICKS,REP
SHERIFF,,WILLIAM HELMS,DEM
SHERIFF,,STANLEY KNIGHT JR,REP
SHERIFF,,RICHARD RICK CLAYTON,DEM
SHERIFF,,NATHAN HARMON,REP
SHERIFF,,CURTIS E KELLER,DEM
SHERIFF,,RICK THOMPSON,DEM
SHERIFF,,ALLEN C KING,REP
SHERIFF,,RANDY N HOLCOMB,DEM
SHERIFF,,TOMMY TA BAILEY,REP
SHERIFF,,THEODORE WHITE III,IND
SHERIFF,,KIM C KC BOHRER,REP
SHERIFF,,SCOTT F VAN METER,DEM
SHERIFF,,KEN GROVES,REP
SHERIFF,,LOU DELLAMEA,DEM
SHERIFF,,FORREST BUDDY ELLIFRITZ,REP
SHERIFF,,JERRY B FLANAGAN,REP
SHERIFF,,WILLIAM BJ BALL,IND
SHERIFF,,JACOB E KOPEC,IND
SHERIFF,,JOE NELSON,IND
SHERIFF,,BRIAN HICKMAN,DEM
SHERIFF,,JOHN R KELLEY II,REP
SHERIFF,,STEVEN DAWSON,REP
SHERIFF,,ALICIA N SANDERS,DEM
SHERIFF,,WARREN BASNETT,REP
SHERIFF,,JEFF STARCHER,DEM
SHERIFF,,BRAD ELLISON,DEM
SHERIFF,,JIMMY RIFFLE,DEM
SHERIFF,,JOE CARPENTER,REP
SHERIFF,,CHARLES DOUG BEARD,REP
SHERIFF,,BRUCE SLOAN,DEM
ASSESSOR,,PHYLLIS K YOKUM,DEM
ASSESSOR,,D KEITH WILSON JR,REP
ASSESSOR,,ASHLEY BUMGARNER,DEM
ASSESSOR,,MELISSA JONES JEDAMSKI,DEM
ASSESSOR,,A RAY BAILEY,DEM
ASSESSOR,,GARY R HALL,REP
ASSESSOR,,ERIC B BUZZARD,DEM
ASSESSOR,,MAX W COCHRAN,DEM
ASSESSOR,,LARRY A HESS,REP
ASSESSOR,,RIC BROWNING,DEM
ASSESSOR,,TERESA DAVIS,DEM
ASSESSOR,,LYLE COTTLE,REP
ASSESSOR,,SHARON D GEARHART,DEM
ASSESSOR,,DEBBIE WEAVER,REP
ASSESSOR,,LINDA SUMNER,REP
ASSESSOR,,EDITH EDIE TICHNER,DEM
ASSESSOR,,JILL COSNER,REP
ASSESSOR,,J CHRIS MICHAEL,REP
ASSESSOR,,EMILY C WESTFALL,REP
ASSESSOR,,JIM WRATCHFORD,DEM
ASSESSOR,,JASON NETTLES,DEM
ASSESSOR,,MICHAEL E MIKE COOK,DEM
ASSESSOR,,MARK TRACH,DEM
ASSESSOR,,JOE DARNELL,DEM
SURVEYOR,,LEON G MALLOW,REP
SURVEYOR,,DARRELL BOICE,REP
SURVEYOR,,WRITE IN,
SURVEYOR,,MATTHEW STROGEN,DEM
SURVEYOR,,TIMOTHY B KOSUT,DEM
SURVEYOR,,JUSTIN R MEADOWS,REP
SURVEYOR,,JOHN M GILES,REP
SURVEYOR,,BRIAN W LAWRENCE,DEM
SURVEYOR,,DAVID W JOPLING,DEM
SURVEYOR,,SEFTON STEWART,REP
SURVEYOR,,CHRISTOPHER B WOLFE,DEM
FOR COUNTY COMMISSIONER,,ZACH ABRAHAM,REP
FOR COUNTY COMMISSIONER,,TIM MCCORMICK,DEM
FOR COUNTY COMMISSIONER,,JOHN REBINSKI,REP
FOR COUNTY COMMISSIONER,,DAVID MCLAUGHLIN,DEM
FOR COUNTY COMMISSIONER,,JAY POWELL,DEM
FOR COUNTY COMMISSIONER,,JEFF ARNETT,DEM
FOR COUNTY COMMISSIONER,,ED HAWKINS,REP
FOR COUNTY COMMISSIONER,,MELVIN YOUNG,REP
FOR COUNTY COMMISSIONER,,DANE WILLS,DEM
FOR COUNTY COMMISSIONER,,MITCH MORRISON,REP
FOR COUNTY COMMISSIONER,,TONY BOGGS,DEM
FOR COUNTY COMMISSIONER,,BRIAN ELLIS,REP
FOR COUNTY COMMISSIONER,,ORVILLE G WRIGHT,REP
FOR COUNTY COMMISSIONER,,DAVE GOBEL,DEM
FOR COUNTY COMMISSIONER,,LANCE M HICKMAN,REP
FOR COUNTY COMMISSIONER,,TERRY B CUTRIGHT,REP
FOR COUNTY COMMISSIONER,,BOBBY STEWART,REP
FOR COUNTY COMMISSIONER,,RAY SMITH,DEM
FOR COUNTY COMMISSIONER,,PHOEBE HARLESS,DEM
FOR COUNTY COMMISSIONER,,RICK HANDLEY,DEM
FOR COUNTY COMMISSIONER,,THOMAS TOMMY MAYES,REP
FOR COUNTY COMMISSIONER,,JOSH BARKER,REP
FOR COUNTY COMMISSIONER,,JACOB MESSER,DEM
FOR COUNTY COMMISSIONER,,ALLISON RAE TAYLOR,REP
FOR COUNTY COMMISSIONER,,DENISE ESKEW SCALPH,DEM
FOR COUNTY COMMISSIONER,,GAVIN SMITH,REP
FOR COUNTY COMMISSIONER,,GREG HOOTIE SMITH,DEM
FOR COUNTY COMMISSIONER,,DIANA BARNETTE,REP
FOR COUNTY COMMISSIONER,,ED WHITE,DEM
FOR COUNTY COMMISSIONER,,DON SMITH,REP
FOR COUNTY COMMISSIONER,,LYNN HOUSNER,IND
FOR COUNTY COMMISSIONER,,DAVID CANNON,REP
FOR COUNTY COMMISSIONER,,MIKE GORE,REP
FOR COUNTY COMMISSIONER,,BILL LIGHTNER,DEM
FOR COUNTY COMMISSIONER,,RONALD L TRAVIS,REP
FOR COUNTY COMMISSIONER,,NANCY CARTMILL,REP
FOR COUNTY COMMISSIONER,,BILLY WAYNE BAILEY,DEM
FOR COUNTY COMMISSIONER,,CARL HEVENER,DEM
FOR COUNTY COMMISSIONER,,BOB ARMENTROUT,IND
FOR COUNTY COMMISSIONER,,TRICIA JACKSON,REP
FOR COUNTY COMMISSIONER,,RALPH LORENZETTI,DEM
FOR COUNTY COMMISSIONER,,STEVE STOLIPHER,REP
FOR COUNTY COMMISSIONER,,LANAE JOHNSON,DEM
FOR COUNTY COMMISSIONER,,TYSON RIGGLEMAN,REP
FOR COUNTY COMMISSIONER,,DAVID STRAIT,REP
FOR COUNTY COMMISSIONER,,PHILIP FERGUSON,DEM
FOR COUNTY COMMISSIONER,,STACEY HUKILL WISE,DEM
FOR COUNTY COMMISSIONER,,LANCE WHEELER,REP
FOR COUNTY COMMISSIONER,,MARK HUNT,DEM
FOR COUNTY COMMISSIONER,,D CRAIG CHAPMAN,REP
FOR COUNTY COMMISSIONER,,LYLE NEAL,DEM
FOR COUNTY COMMISSIONER,,CARLA MCBEE,DEM
FOR COUNTY COMMISSIONER,,ALLEN RUSH,IND
FOR COUNTY COMMISSIONER,,ERON CHEK,REP
FOR COUNTY COMMISSIONER,,JOE BARNABEI,DEM
FOR COUNTY COMMISSIONER,,RANDALL E RIGGS,REP
FOR COUNTY COMMISSIONER,,MICKEY PETITTO,REP
FOR COUNTY COMMISSIONER,,SUSAN THOMAS,DEM
FOR COUNTY COMMISSIONER,,LBN REX A STARKEY,LBN
FOR PROSECUTING ATTORNEY,,SCOTT R SMITH,DEM
FOR PROSECUTING ATTORNEY,,TERRI WORKMAN HELMICK,REP
FOR PROSECUTING ATTORNEY,,LAURA M FINCH,DEM
FOR PROSECUTING ATTORNEY,,BRIAN K CARR,DEM
FOR PROSECUTING ATTORNEY,,PERRI JO DECHRISTOPHER,DEM
FOR PROSECUTING ATTORNEY,,JUSTIN R ST CLAIR,DEM
FOR PROSECUTING ATTORNEY,,DAVID KYLE MOORE,REP
FOR PROSECUTING ATTORNEY,,MARK A SORSAIA,REP
FOR PROSECUTING ATTORNEY,,JOHN L BORD,REP
FOR PROSECUTING ATTORNEY,,D LUKE FURBEE,REP
FOR PROSECUTING ATTORNEY,,BRYAN S HINKLE,REP
FOR PROSECUTING ATTORNEY,,CHRISTINA TALBERT FLANIGAN,REP
FOR PROSECUTING ATTORNEY,,JACK STEVENS II,DEM
