candidate,office,district,party,county,precinct,total votes ,election day,early voting
No Candidate Filed,State Senate,6,,Wayne,Precinct 13,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 13,3,3,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 13,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 13,220,220,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 13,248,248,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 13,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 13,4,4,0
,Registered Voters,,,Wayne,Precinct 14,1209,,
,Ballots Cast,,,Wayne,Precinct 14,595,595,0
,Straight Party,,REP,Wayne,Precinct 14,79,79,0
,Straight Party,,DEM,Wayne,Precinct 14,84,84,0
,Straight Party,,MTN,Wayne,Precinct 14,1,1,0
John R. Raese,US Senate,,REP,Wayne,Precinct 14,274,274,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 14,305,305,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 14,2,2,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 14,7,7,0
Write-in,US Senate,,,Wayne,Precinct 14,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 14,312,312,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 14,255,255,0
No Candidate Filed,US House,3,,Wayne,Precinct 14,0,0,0
Write-in,US House,3,,Wayne,Precinct 14,1,1,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 14,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 14,366,366,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 14,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 14,4,4,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 14,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 14,402,402,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 14,381,381,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 14,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 14,4,4,0
,Registered Voters,,,Wayne,Precinct 16,448,,
,Ballots Cast,,,Wayne,Precinct 16,210,210,0
,Straight Party,,REP,Wayne,Precinct 16,25,25,0
,Straight Party,,DEM,Wayne,Precinct 16,30,30,0
,Straight Party,,MTN,Wayne,Precinct 16,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 16,79,79,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 16,124,124,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 16,0,0,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 16,1,1,0
Write-in,US Senate,,,Wayne,Precinct 16,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 16,100,100,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 16,96,96,0
No Candidate Filed,US House,3,,Wayne,Precinct 16,0,0,0
Write-in,US House,3,,Wayne,Precinct 16,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 16,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 16,125,125,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 16,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 16,1,1,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 16,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 16,119,119,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 16,138,138,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 16,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 16,0,0,0
,Registered Voters,,,Wayne,Precinct 17,666,,
,Ballots Cast,,,Wayne,Precinct 17,343,343,0
,Straight Party,,REP,Wayne,Precinct 17,54,54,0
,Straight Party,,DEM,Wayne,Precinct 17,43,43,0
,Straight Party,,MTN,Wayne,Precinct 17,2,2,0
John R. Raese,US Senate,,REP,Wayne,Precinct 17,170,170,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 17,156,156,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 17,5,5,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 17,5,5,0
Write-in,US Senate,,,Wayne,Precinct 17,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 17,173,173,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 17,142,142,0
No Candidate Filed,US House,3,,Wayne,Precinct 17,0,0,0
Write-in,US House,3,,Wayne,Precinct 17,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 17,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 17,183,183,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 17,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 17,3,3,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 17,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 17,216,216,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 17,201,201,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 17,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 17,2,2,0
,Registered Voters,,,Wayne,Precinct 18,656,,
,Ballots Cast,,,Wayne,Precinct 18,294,294,0
,Straight Party,,REP,Wayne,Precinct 18,34,34,0
,Straight Party,,DEM,Wayne,Precinct 18,49,49,0
,Straight Party,,MTN,Wayne,Precinct 18,1,1,0
John R. Raese,US Senate,,REP,Wayne,Precinct 18,118,118,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 18,165,165,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 18,3,3,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 18,7,7,0
Write-in,US Senate,,,Wayne,Precinct 18,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 18,127,127,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 18,151,151,0
No Candidate Filed,US House,3,,Wayne,Precinct 18,0,0,0
Write-in,US House,3,,Wayne,Precinct 18,2,2,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 18,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 18,175,175,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 18,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 18,1,1,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 18,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 18,182,182,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 18,211,211,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 18,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 18,0,0,0
,Registered Voters,,,Wayne,Precinct 19,1118,,
,Ballots Cast,,,Wayne,Precinct 19,448,448,0
,Straight Party,,REP,Wayne,Precinct 19,69,69,0
,Straight Party,,DEM,Wayne,Precinct 19,60,60,0
,Straight Party,,MTN,Wayne,Precinct 19,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 19,220,220,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 19,220,220,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 19,0,0,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 19,2,2,0
Write-in,US Senate,,,Wayne,Precinct 19,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 19,244,244,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 19,185,185,0
No Candidate Filed,US House,3,,Wayne,Precinct 19,0,0,0
Write-in,US House,3,,Wayne,Precinct 19,1,1,0
No Candidate Filed,State Senate,7,,Wayne,Precinct 19,0,0,0
Ron Stollings,State Senate,7,DEM,Wayne,Precinct 19,231,231,0
No Candidate Filed,State Senate,7,,Wayne,Precinct 19,0,0,0
Write-in,State Senate,7,,Wayne,Precinct 19,1,1,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 19,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 19,299,299,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 19,245,245,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 19,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 19,0,0,0
,Registered Voters,,,Wayne,Precinct 20,825,,
,Ballots Cast,,,Wayne,Precinct 20,340,340,0
,Straight Party,,REP,Wayne,Precinct 20,46,46,0
,Straight Party,,DEM,Wayne,Precinct 20,75,75,0
,Straight Party,,MTN,Wayne,Precinct 20,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 20,115,115,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 20,208,208,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 20,2,2,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 20,5,5,0
Write-in,US Senate,,,Wayne,Precinct 20,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 20,124,124,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 20,197,197,0
No Candidate Filed,US House,3,,Wayne,Precinct 20,0,0,0
Write-in,US House,3,,Wayne,Precinct 20,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 20,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 20,213,213,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 20,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 20,1,1,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 20,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 20,207,207,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 20,215,215,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 20,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 20,0,0,0
,Registered Voters,,,Wayne,Precinct 21,522,,
,Ballots Cast,,,Wayne,Precinct 21,242,242,0
,Straight Party,,REP,Wayne,Precinct 21,36,36,0
,Straight Party,,DEM,Wayne,Precinct 21,34,34,0
,Straight Party,,MTN,Wayne,Precinct 21,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 21,100,100,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 21,135,135,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 21,1,1,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 21,0,0,0
Write-in,US Senate,,,Wayne,Precinct 21,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 21,102,102,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 21,125,125,0
No Candidate Filed,US House,3,,Wayne,Precinct 21,0,0,0
Write-in,US House,3,,Wayne,Precinct 21,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 21,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 21,142,142,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 21,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 21,1,1,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 21,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 21,143,143,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 21,150,150,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 21,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 21,2,2,0
,Registered Voters,,,Wayne,Precinct 22,600,,
,Ballots Cast,,,Wayne,Precinct 22,307,307,0
,Straight Party,,REP,Wayne,Precinct 22,27,27,0
,Straight Party,,DEM,Wayne,Precinct 22,51,51,0
,Straight Party,,MTN,Wayne,Precinct 22,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 22,118,118,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 22,176,176,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 22,3,3,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 22,5,5,0
Write-in,US Senate,,,Wayne,Precinct 22,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 22,129,129,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 22,163,163,0
No Candidate Filed,US House,3,,Wayne,Precinct 22,0,0,0
Write-in,US House,3,,Wayne,Precinct 22,1,1,0
No Candidate Filed,State Senate,7,,Wayne,Precinct 22,0,0,0
Ron Stollings,State Senate,7,DEM,Wayne,Precinct 22,156,156,0
No Candidate Filed,State Senate,7,,Wayne,Precinct 22,0,0,0
Write-in,State Senate,7,,Wayne,Precinct 22,0,0,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 22,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 22,230,230,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 22,198,198,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 22,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 22,0,0,0
,Registered Voters,,,Wayne,Precinct 30,588,,
,Ballots Cast,,,Wayne,Precinct 30,193,193,0
,Straight Party,,REP,Wayne,Precinct 30,40,40,0
,Straight Party,,DEM,Wayne,Precinct 30,61,61,0
,Straight Party,,MTN,Wayne,Precinct 30,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 30,70,70,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 30,115,115,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 30,1,1,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 30,1,1,0
Write-in,US Senate,,,Wayne,Precinct 30,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 30,76,76,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 30,109,109,0
No Candidate Filed,US House,3,,Wayne,Precinct 30,0,0,0
Write-in,US House,3,,Wayne,Precinct 30,0,0,0
No Candidate Filed,State Senate,7,,Wayne,Precinct 30,0,0,0
Ron Stollings,State Senate,7,DEM,Wayne,Precinct 30,102,102,0
No Candidate Filed,State Senate,7,,Wayne,Precinct 30,0,0,0
Write-in,State Senate,7,,Wayne,Precinct 30,0,0,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 30,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 30,130,130,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 30,105,105,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 30,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 30,0,0,0
,Registered Voters,,,Wayne,Precinct 31,705,,
,Ballots Cast,,,Wayne,Precinct 31,233,233,0
,Straight Party,,REP,Wayne,Precinct 31,41,41,0
,Straight Party,,DEM,Wayne,Precinct 31,85,85,0
,Straight Party,,MTN,Wayne,Precinct 31,1,1,0
John R. Raese,US Senate,,REP,Wayne,Precinct 31,77,77,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 31,143,143,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 31,0,0,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 31,5,5,0
Write-in,US Senate,,,Wayne,Precinct 31,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 31,94,94,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 31,123,123,0
No Candidate Filed,US House,3,,Wayne,Precinct 31,0,0,0
Write-in,US House,3,,Wayne,Precinct 31,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 31,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 31,154,154,154
No Candidate Filed,State Senate,6,,Wayne,Precinct 31,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 31,0,0,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 31,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 31,152,152,152
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 31,142,142,142
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 31,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 31,0,0,0
,Registered Voters,,,Wayne,Precinct 34,936,,
,Ballots Cast,,,Wayne,Precinct 34,253,253,0
,Straight Party,,REP,Wayne,Precinct 34,29,29,0
,Straight Party,,DEM,Wayne,Precinct 34,121,121,0
,Straight Party,,MTN,Wayne,Precinct 34,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 34,68,68,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 34,195,195,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 34,0,0,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 34,3,3,0
Write-in,US Senate,,,Wayne,Precinct 34,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 34,73,73,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 34,191,191,0
No Candidate Filed,US House,3,,Wayne,Precinct 34,0,0,0
Write-in,US House,3,,Wayne,Precinct 34,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 34,0,0,0
