year,election,office,party,district,candidate,county,votes,winner,,year,election,office,party,district,candidate,county,votes,winner
1954,primary,U.S. House,DEM,4,H.W. Nestler,Totals,3679,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Cabell,1398,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Jackson,96,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Lincoln,166,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Mason,100,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Pleasants,60,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Putnam,75,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Roane,148,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Tyler,53,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Wayne,399,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,H.W. Nestler,Wood,1184,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Totals,37654,TRUE,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Greenbrier,3634,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Mercer,6276,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Mingo,8823,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Monroe,1302,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,McDowell,12919,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Summers,1662,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Elizabeth (Mrs. John) Kee,Wyoming,3038,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Totals,4509,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Greenbrier,880,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Mercer,819,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Mingo,605,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Monroe,339,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,McDowell,464,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Summers,1078,,,,,,,,,,,
1954,primary,U.S. House,DEM,5,Irvin S. Maddy,Wyoming,324,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,Robert C. Byrd,Totals,42949,TRUE,,,,,,,,,,
1954,primary,U.S. House,DEM,6,Robert C. Byrd,Boone,4911,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,Robert C. Byrd,Kanawha,18554,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,Robert C. Byrd,Logan,9817,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,Robert C. Byrd,Raleigh,9667,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,A.A. Van Petten,Totals,7398,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,A.A. Van Petten,Boone,393,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,A.A. Van Petten,Kanawha,5604,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,A.A. Van Petten,Logan,614,,,,,,,,,,,
1954,primary,U.S. House,DEM,6,A.A. Van Petten,Raleigh,787,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Totals,15851,TRUE,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Brooke,1544,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Hancock,1622,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Marion,2450,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Marshall,2036,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Ohio,5736,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Taylor,1144,,,,,,,,,,,
1954,primary,U.S. House,REP,1,"Arch A. Moore, Jr.",Wetzel,1319,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Totals,8830,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Barbour,1359,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Berkeley,661,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Grant,496,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Hampshire,165,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Hardy,209,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Jefferson,222,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Mineral,1112,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Monongalia,642,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Morgan,398,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Pendleton,174,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Pocahontas,451,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Preston,1398,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Randolph,567,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Tucker,513,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Mrs. Davis Elkins,Webster,463,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Totals,10716,TRUE,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Barbour,624,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Berkeley,925,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Grant,763,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Hampshire,86,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Hardy,221,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Jefferson,209,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Mineral,864,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Monongalia,3273,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Morgan,1040,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Pendleton,199,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Pocahontas,187,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Preston,1300,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Randolph,399,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Tucker,381,,,,,,,,,,,
1954,primary,U.S. House,REP,2,Albert M. Morgan,Webster,245,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Totals,5027,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Braxton,274,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Calhoun,273,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Clay,359,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Doddridge,270,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Fayette,185,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Gilmer,136,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Harrison,774,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Lewis,666,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Nicholas,86,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Ritchie,1134,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Upshur,314,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Frank T. Amos,Wirt,556,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Totals,1339,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Braxton,60,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Calhoun,66,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Clay,105,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Doddridge,89,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Fayette,199,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Gilmer,32,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Harrison,239,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Lewis,131,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Nicholas,41,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Ritchie,133,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Upshur,217,,,,,,,,,,,
1954,primary,U.S. House,REP,3,"M.A. Holliday, Sr.",Wirt,27,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Totals,7028,TRUE,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Braxton,309,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Calhoun,114,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Clay,279,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Doddridge,526,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Fayette,258,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Gilmer,190,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Harrison,2626,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Lewis,801,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Nicholas,106,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Ritchie,530,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Upshur,1244,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Joseph B. Lightburn,Wirt,45,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Totals,6317,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Braxton,329,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Calhoun,116,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Clay,309,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Doddridge,283,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Fayette,1701,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Gilmer,72,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Harrison,975,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Lewis,681,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Nicholas,461,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Ritchie,360,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Upshur,970,,,,,,,,,,,
1954,primary,U.S. House,REP,3,Myron R. “Rusty”,Wirt,60,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Totals,21779,TRUE,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Cabell,6774,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Jackson,1956,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Lincoln,1331,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Mason,2464,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Pleasants,372,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Putnam,1328,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Roane,1812,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Tyler,797,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Wayne,1670,,,,,,,,,,,
1954,primary,U.S. House,REP,4,Dr. Will E. Neal,Wood,3275,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Totals,7977,TRUE,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Greenbrier,970,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Mercer,1717,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Mingo,1574,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Monroe,730,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,McDowell,1768,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Summers,423,,,,,,,,,,,
1954,primary,U.S. House,REP,5,Fred O. Blue,Wyoming,795,,,,,,,,,,,
1954,primary,U.S. House,REP,6,John M. Orth,Totals,7373,,,,,,,,,,,
1954,primary,U.S. House,REP,6,John M. Orth,Boone,269,,,,,,,,,,,
1954,primary,U.S. House,REP,6,John M. Orth,Kanawha,5751,,,,,,,,,,,
1954,primary,U.S. House,REP,6,John M. Orth,Logan,464,,,,,,,,,,,
1954,primary,U.S. House,REP,6,John M. Orth,Raleigh,889,,,,,,,,,,,
1954,primary,U.S. House,REP,6,"Pat B. Withrow, Jr.",Totals,11766,TRUE,,,,,,,,,,
1954,primary,U.S. House,REP,6,"Pat B. Withrow, Jr.",Boone,874,,,,,,,,,,,
1954,primary,U.S. House,REP,6,"Pat B. Withrow, Jr.",Kanawha,7145,,,,,,,,,,,
1954,primary,U.S. House,REP,6,"Pat B. Withrow, Jr.",Logan,1091,,,,,,,,,,,
1954,primary,U.S. House,REP,6,"Pat B. Withrow, Jr.",Raleigh,2656,,,,,,,,,,,
