office,district,candidate,party
STATE SENATE,4.0,MITCH B CARMICHAEL,REP
STATE SENATE,4.0,MICHAEL MIKE BRIGHT,DEM
STATE SENATE,15.0,CRAIG P BLAIR,REP
STATE SENATE,15.0,DANIEL LITTEN,CON
STATE HOUSE,4.0,DAVID A EVANS,REP
STATE HOUSE,4.0,MIKE FERRO,DEM
STATE HOUSE,4.0,DAVID SIDIROPOLIS,DEM
STATE HOUSE,33.0,DAVID A WALKER,DEM
STATE HOUSE,2.0,PHILLIP W DISERIO,DEM
STATE HOUSE,2.0,LYNN DAVIS,REP
STATE HOUSE,6.0,CHARLIE DELAUDER,DEM
STATE HOUSE,6.0,WM ROGER ROMINE,REP
STATE HOUSE,34.0,BRENT BOGGS,DEM
STATE HOUSE,47.0,MARY M POLING,DEM
STATE HOUSE,47.0,JOHN R ROSE SR,REP
STATE HOUSE,47.0,WRITE INS,
STATE HOUSE,53.0,STAN SHAVER,DEM
STATE HOUSE,53.0,RANDY E SMITH,REP
STATE HOUSE,55.0,ISAAC SPONAUGLE,DEM
STATE HOUSE,55.0,STEPHEN G SMITH,REP
STATE HOUSE,7.0,LYNWOOD WOODY IRELAND,REP
STATE HOUSE,43.0,DONNA AUVIL,REP
STATE HOUSE,43.0,DENISE L CAMPBELL,DEM
STATE HOUSE,43.0,BILL HARTMAN,DEM
STATE HOUSE,44.0,DANA L LYNCH,DEM
STATE HOUSE,44.0,ROBERT KARNES,REP
STATE HOUSE,52.0,LARRY A WILLIAMS,DEM
STATE HOUSE,52.0,JOHN R RICK BARTLETT,CON
STATE HOUSE,10.0,FREDERICK GILLESPIE,REP
STATE HOUSE,9.0,ANNA BORDER,REP
STATE HOUSE,8.0,BILL ANDERSON,REP
STATE HOUSE,10.0,JOHN N ELLEM,REP
STATE HOUSE,9.0,JIM MARION,DEM
STATE HOUSE,8.0,DENZIL BUDDY MALONE,DEM
STATE HOUSE,11.0,BOB ASHLEY,REP
STATE HOUSE,11.0,MARK MYERS,MTN
STATE HOUSE,5.0,DAVE PETHTEL,DEM
STATE HOUSE,5.0,RAYMOND V DAVIS III,MTN
STATE HOUSE,5.0,DENZIL W SLOAN,CON
STATE HOUSE,49.0,MIKE MANYPENNY,DEM
STATE HOUSE,49.0,JEFF TANSILL,REP
STATE AUDITOR,,GLEN B GAINER III,DEM
STATE AUDITOR,,LARRY V FAIRCLOTH,REP
STATE AUDITOR,,WRITE INS,
STATE TREASURER,,JOHN D PERDUE,DEM
STATE TREASURER,,MIKE HALL,REP
STATE TREASURER,,WRITE INS,
STRAIGHT PARTY,,UBLICAN,
STRAIGHT PARTY,,OCRATIC,
STRAIGHT PARTY,,MOUNTAIN,
STRAIGHT PARTY,,LIBERTARIAN,
STRAIGHT PARTY,,CONSTITUTION,CON
HOUSE OF DELEGATES,2.0,LYNN DAVIS,
HOUSE OF DELEGATES,2.0,PHILLIP W DISERIO,
HOUSE OF DELEGATES,3.0,LARRY TIGHE,
HOUSE OF DELEGATES,3.0,ERIKKA STORCH,
HOUSE OF DELEGATES,3.0,RYAN FERNS,
HOUSE OF DELEGATES,3.0,SHAWN LUCAS FLUHARTY,
HOUSE OF DELEGATES,4.0,DAVID A EVANS,
HOUSE OF DELEGATES,4.0,MIKE FERRO,
HOUSE OF DELEGATES,4.0,DAVID SIDIROPOLIS,
HOUSE OF DELEGATES,32.0,MARGARET ANN STAGGERS,DEM
HOUSE OF DELEGATES,32.0,JOHN PINO,DEM
HOUSE OF DELEGATES,32.0,DAVE PERRY,DEM
HOUSE OF DELEGATES,32.0,TIGHE BULLOCK,MTN
HOUSE OF DELEGATES,35.0,SUZETTE RAINES,REP
HOUSE OF DELEGATES,35.0,JOHN MCCUSKEY,REP
HOUSE OF DELEGATES,35.0,ERIC NELSON,REP
HOUSE OF DELEGATES,35.0,FRED JOSEPH,REP
HOUSE OF DELEGATES,35.0,DOUG SKAFF,DEM
HOUSE OF DELEGATES,35.0,BARBARA HATFIELD,DEM
HOUSE OF DELEGATES,35.0,BONNIE BROWN,DEM
HOUSE OF DELEGATES,35.0,CHRIS MORRIS,DEM
HOUSE OF DELEGATES,36.0,ROBIN HOLSTEIN,REP
HOUSE OF DELEGATES,36.0,STEVE SWEENEY,REP
HOUSE OF DELEGATES,36.0,STEVIE THAXTON,REP
HOUSE OF DELEGATES,36.0,NANCY GUTHRIE,DEM
HOUSE OF DELEGATES,36.0,MARK HUNT,DEM
HOUSE OF DELEGATES,36.0,DANNY WELLS,DEM
HOUSE OF DELEGATES,37.0,MESHEA POORE,DEM
HOUSE OF DELEGATES,37.0,DERRICK SHAFTER,MTN
HOUSE OF DELEGATES,38.0,PATRICK LANE,REP
HOUSE OF DELEGATES,38.0,VIRGINIA MOLES,DEM
HOUSE OF DELEGATES,39.0,RON WALTERS,REP
HOUSE OF DELEGATES,39.0,CLINT CASTO,DEM
HOUSE OF DELEGATES,40.0,TIM ARMSTEAD,REP
HOUSE OF DELEGATES,5.0,DAVE PETHTEL,
HOUSE OF DELEGATES,5.0,RAYMOND V DAVIS III,
HOUSE OF DELEGATES,5.0,DENZIL W SLOAN,
HOUSE OF DELEGATES,49.0,JEFF TANSILL,
HOUSE OF DELEGATES,49.0,MIKE MANYPENNY,
HOUSE OF DELEGATES,51.0,AMANDA PASDON,
HOUSE OF DELEGATES,51.0,JAY REDMOND,
HOUSE OF DELEGATES,51.0,CINDY FRICH,
HOUSE OF DELEGATES,51.0,JOHN P WOODS,
HOUSE OF DELEGATES,51.0,KEVIN SCOTT POE,
HOUSE OF DELEGATES,51.0,BILLY SMERKA JR,
HOUSE OF DELEGATES,51.0,NANCY JAMISON,
HOUSE OF DELEGATES,51.0,CHARLENE MARSHALL,
HOUSE OF DELEGATES,51.0,BARBARA EVANS FLEISCHAUER,
HOUSE OF DELEGATES,51.0,ANTHONY P TONY BARILL,
HOUSE OF DELEGATES,51.0,HARRY V BERTRAM,
U S SENATE,,JOHN RAESE,REP
U S SENATE,,JOE MANCHIN,DEM
U S SENATE,,BOB BABER,MTN
U S HOUSE,2.0,SHELLEY CAPITO,REP
U S HOUSE,2.0,HOWARD SWINT,DEM
