candidate,office,district,party,county,precinct,total votes,election day,early voting
,Ballots Cast ,,D,Wayne,Precinct 12,84,84,0
Bill Maloney ,Governor,,R,Wayne,Precinct 12,15,15,0
Ralph William Clark,Governor,,R,Wayne,Precinct 12,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 12,2,2,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 12,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 12,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 12,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 12,10,10,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 12,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 12,35,35,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 12,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 12,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 12,43,43,0
Arne Moltis,Governor,,D,Wayne,Precinct 12,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 12,2,2,0
,Registered Voters,,R,Wayne,Precinct 13,210,,
,Registered Voters,,D,Wayne,Precinct 13,566,,
,Ballots Cast ,,R,Wayne,Precinct 13,27,27,0
,Ballots Cast ,,D,Wayne,Precinct 13,98,98,0
Bill Maloney ,Governor,,R,Wayne,Precinct 13,14,14,0
Ralph William Clark,Governor,,R,Wayne,Precinct 13,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 13,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 13,3,3,0
Clark Barnes,Governor,,R,Wayne,Precinct 13,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 13,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 13,5,5,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 13,2,2,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 13,22,22,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 13,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 13,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 13,67,67,0
Arne Moltis,Governor,,D,Wayne,Precinct 13,1,1,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 13,6,6,0
,Registered Voters,,R,Wayne,Precinct 14,381,,
,Registered Voters,,D,Wayne,Precinct 14,699,,
,Ballots Cast ,,R,Wayne,Precinct 14,52,52,0
,Ballots Cast ,,D,Wayne,Precinct 14,169,169,0
Bill Maloney ,Governor,,R,Wayne,Precinct 14,26,26,0
Ralph William Clark,Governor,,R,Wayne,Precinct 14,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 14,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 14,7,7,0
Clark Barnes,Governor,,R,Wayne,Precinct 14,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 14,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 14,14,14,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 14,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 14,39,39,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 14,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 14,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 14,117,117,0
Arne Moltis,Governor,,D,Wayne,Precinct 14,1,1,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 14,9,9,0
,Registered Voters,,R,Wayne,Precinct 16,122,,
,Registered Voters,,D,Wayne,Precinct 16,276,,
,Ballots Cast ,,R,Wayne,Precinct 16,14,14,0
,Ballots Cast ,,D,Wayne,Precinct 16,51,51,0
Bill Maloney ,Governor,,R,Wayne,Precinct 16,8,8,0
Ralph William Clark,Governor,,R,Wayne,Precinct 16,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 16,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 16,4,4,0
Clark Barnes,Governor,,R,Wayne,Precinct 16,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 16,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 16,2,2,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 16,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 16,10,10,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 16,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 16,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 16,37,37,0
Arne Moltis,Governor,,D,Wayne,Precinct 16,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 16,4,4,0
,Registered Voters,,R,Wayne,Precinct 17,210,,
,Registered Voters,,D,Wayne,Precinct 17,399,,
,Ballots Cast ,,R,Wayne,Precinct 17,21,21,0
,Ballots Cast ,,D,Wayne,Precinct 17,105,105,0
Bill Maloney ,Governor,,R,Wayne,Precinct 17,8,8,0
Ralph William Clark,Governor,,R,Wayne,Precinct 17,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 17,1,1,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 17,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 17,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 17,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 17,11,11,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 17,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 17,24,24,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 17,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 17,4,4,0
Rick Thompson,Governor,,D,Wayne,Precinct 17,69,69,0
Arne Moltis,Governor,,D,Wayne,Precinct 17,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 17,8,8,0
,Registered Voters,,R,Wayne,Precinct 18,190,,
,Registered Voters,,D,Wayne,Precinct 18,416,,
,Ballots Cast ,,R,Wayne,Precinct 18,21,21,0
,Ballots Cast ,,D,Wayne,Precinct 18,113,113,0
Bill Maloney ,Governor,,R,Wayne,Precinct 18,15,15,0
Ralph William Clark,Governor,,R,Wayne,Precinct 18,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 18,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 18,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 18,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 18,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 18,5,5,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 18,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 18,21,21,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 18,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 18,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 18,84,84,0
Arne Moltis,Governor,,D,Wayne,Precinct 18,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 18,3,3,0
,Registered Voters,,R,Wayne,Precinct 19,313,,
,Registered Voters,,D,Wayne,Precinct 19,654,,
,Ballots Cast ,,R,Wayne,Precinct 19,44,44,0
,Ballots Cast ,,D,Wayne,Precinct 19,129,129,0
Bill Maloney ,Governor,,R,Wayne,Precinct 19,24,24,0
Ralph William Clark,Governor,,R,Wayne,Precinct 19,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 19,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 19,5,5,0
Clark Barnes,Governor,,R,Wayne,Precinct 19,2,2,0
Cliff Ellis,Governor,,R,Wayne,Precinct 19,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 19,11,11,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 19,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 19,20,20,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 19,3,3,0
John D. Perdue,Governor,,D,Wayne,Precinct 19,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 19,93,93,0
Arne Moltis,Governor,,D,Wayne,Precinct 19,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 19,10,10,0
,Registered Voters,,R,Wayne,Precinct 20,183,,
,Registered Voters,,D,Wayne,Precinct 20,524,,
,Ballots Cast ,,R,Wayne,Precinct 20,24,24,0
,Ballots Cast ,,D,Wayne,Precinct 20,113,113,0
Bill Maloney ,Governor,,R,Wayne,Precinct 20,14,14,0
Ralph William Clark,Governor,,R,Wayne,Precinct 20,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 20,1,1,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 20,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 20,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 20,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 20,7,7,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 20,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 20,33,33,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 20,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 20,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 20,68,68,0
Arne Moltis,Governor,,D,Wayne,Precinct 20,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 20,8,8,0
,Registered Voters,,R,Wayne,Precinct 21,138,,
,Registered Voters,,D,Wayne,Precinct 21,318,,
,Ballots Cast ,,R,Wayne,Precinct 21,25,25,0
,Ballots Cast ,,D,Wayne,Precinct 21,71,71,0
Bill Maloney ,Governor,,R,Wayne,Precinct 21,11,11,0
Ralph William Clark,Governor,,R,Wayne,Precinct 21,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 21,1,1,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 21,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 21,2,2,0
Cliff Ellis,Governor,,R,Wayne,Precinct 21,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 21,7,7,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 21,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 21,16,16,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 21,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 21,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 21,47,47,0
Arne Moltis,Governor,,D,Wayne,Precinct 21,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 21,5,5,0
,Registered Voters,,R,Wayne,Precinct 22,179,,
,Registered Voters,,D,Wayne,Precinct 22,376,,
,Ballots Cast ,,R,Wayne,Precinct 22,30,30,0
,Ballots Cast ,,D,Wayne,Precinct 22,120,120,0
Bill Maloney ,Governor,,R,Wayne,Precinct 22,14,14,0
Ralph William Clark,Governor,,R,Wayne,Precinct 22,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 22,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 22,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 22,4,4,0
Cliff Ellis,Governor,,R,Wayne,Precinct 22,1,1,0
Betty Ireland,Governor,,R,Wayne,Precinct 22,8,8,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 22,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 22,25,25,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 22,2,2,0
John D. Perdue,Governor,,D,Wayne,Precinct 22,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 22,85,85,0
Arne Moltis,Governor,,D,Wayne,Precinct 22,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 22,5,5,0
,Registered Voters,,R,Wayne,Precinct 30,135,,
,Registered Voters,,D,Wayne,Precinct 30,398,,
,Ballots Cast ,,R,Wayne,Precinct 30,21,21,0
,Ballots Cast ,,D,Wayne,Precinct 30,84,84,0
Bill Maloney ,Governor,,R,Wayne,Precinct 30,7,7,0
Ralph William Clark,Governor,,R,Wayne,Precinct 30,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 30,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 30,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 30,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 30,1,1,0
Betty Ireland,Governor,,R,Wayne,Precinct 30,12,12,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 30,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 30,17,17,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 30,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 30,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 30,60,60,0
Arne Moltis,Governor,,D,Wayne,Precinct 30,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 30,6,6,0
,Registered Voters,,R,Wayne,Precinct 31,142,,
,Registered Voters,,D,Wayne,Precinct 31,481,,
,Ballots Cast ,,R,Wayne,Precinct 31,18,18,0
,Ballots Cast ,,D,Wayne,Precinct 31,81,81,0
Bill Maloney ,Governor,,R,Wayne,Precinct 31,11,11,0
Ralph William Clark,Governor,,R,Wayne,Precinct 31,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 31,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 31,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 31,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 31,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 31,2,2,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 31,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 31,18,18,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 31,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 31,4,4,0
Rick Thompson,Governor,,D,Wayne,Precinct 31,57,57,0
Arne Moltis,Governor,,D,Wayne,Precinct 31,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 31,1,1,0
,Registered Voters,,R,Wayne,Precinct 34,117,,
,Registered Voters,,D,Wayne,Precinct 34,773,,
,Ballots Cast ,,R,Wayne,Precinct 34,11,11,0
,Ballots Cast ,,D,Wayne,Precinct 34,117,117,0
Bill Maloney ,Governor,,R,Wayne,Precinct 34,3,3,0
Ralph William Clark,Governor,,R,Wayne,Precinct 34,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 34,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 34,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 34,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 34,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 34,7,7,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 34,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 34,34,34,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 34,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 34,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 34,81,81,0
Arne Moltis,Governor,,D,Wayne,Precinct 34,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 34,1,1,0
,Registered Voters,,R,Wayne,Precinct 36,192,,
,Registered Voters,,D,Wayne,Precinct 36,596,,
,Ballots Cast ,,R,Wayne,Precinct 36,14,14,0
,Ballots Cast ,,D,Wayne,Precinct 36,130,130,0
Bill Maloney ,Governor,,R,Wayne,Precinct 36,7,7,0
Ralph William Clark,Governor,,R,Wayne,Precinct 36,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 36,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 36,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 36,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 36,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 36,5,5,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 36,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 36,48,48,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 36,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 36,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 36,79,79,0
Arne Moltis,Governor,,D,Wayne,Precinct 36,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 36,0,0,0
,Registered Voters,,R,Wayne,Precinct 37,220,,
,Registered Voters,,D,Wayne,Precinct 37,648,,
,Ballots Cast ,,R,Wayne,Precinct 37,23,23,0
,Ballots Cast ,,D,Wayne,Precinct 37,70,70,0
Bill Maloney ,Governor,,R,Wayne,Precinct 37,20,20,0
Ralph William Clark,Governor,,R,Wayne,Precinct 37,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 37,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 37,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 37,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 37,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 37,2,2,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 37,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 37,37,37,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 37,1,1,0
John D. Perdue,Governor,,D,Wayne,Precinct 37,0,0,0
Rick Thompson,Governor,,D,Wayne,Precinct 37,32,32,0
Arne Moltis,Governor,,D,Wayne,Precinct 37,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 37,0,0,0
,Registered Voters,,R,Wayne,Precinct 41,77,,
,Registered Voters,,D,Wayne,Precinct 41,499,,
,Ballots Cast ,,R,Wayne,Precinct 41,12,12,0
,Ballots Cast ,,D,Wayne,Precinct 41,86,86,0
Bill Maloney ,Governor,,R,Wayne,Precinct 41,7,7,0
Ralph William Clark,Governor,,R,Wayne,Precinct 41,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 41,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 41,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 41,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 41,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 41,3,3,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 41,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 41,21,21,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 41,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 41,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 41,63,63,0
Arne Moltis,Governor,,D,Wayne,Precinct 41,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 41,1,1,0
,Registered Voters,,R,Wayne,Precinct 42,42,,
,Registered Voters,,D,Wayne,Precinct 42,406,,
,Ballots Cast ,,R,Wayne,Precinct 42,5,5,0
,Ballots Cast ,,D,Wayne,Precinct 42,80,80,0
Bill Maloney ,Governor,,R,Wayne,Precinct 42,3,3,0
Ralph William Clark,Governor,,R,Wayne,Precinct 42,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 42,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 42,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 42,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 42,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 42,2,2,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 42,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 42,27,27,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 42,2,2,0
John D. Perdue,Governor,,D,Wayne,Precinct 42,0,0,0
Rick Thompson,Governor,,D,Wayne,Precinct 42,50,50,0
Arne Moltis,Governor,,D,Wayne,Precinct 42,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 42,1,1,0
,Registered Voters,,R,Wayne,Precinct 45,106,,
,Registered Voters,,D,Wayne,Precinct 45,524,,
,Ballots Cast ,,R,Wayne,Precinct 45,12,12,0
,Ballots Cast ,,D,Wayne,Precinct 45,111,111,0
Bill Maloney ,Governor,,R,Wayne,Precinct 45,5,5,0
Ralph William Clark,Governor,,R,Wayne,Precinct 45,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 45,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 45,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 45,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 45,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 45,5,5,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 45,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 45,25,25,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 45,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 45,0,0,0
Rick Thompson,Governor,,D,Wayne,Precinct 45,84,84,0
Arne Moltis,Governor,,D,Wayne,Precinct 45,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 45,2,2,0
