office,district,candidate,party
STATE SENATE,5.0,CH MCKOWN,DEM
STATE SENATE,5.0,CLYDE B PINSON,REP
STATE SENATE,6.0,WILLIAM MITCHELL,DEM
STATE SENATE,6.0,DR CL DOVE,REP
STATE SENATE,7.0,GLENN JACKSON,DEM
STATE SENATE,7.0,HAROLD MCCLOUD,REP
STATE SENATE,8.0,JOHN E AMOS,DEM
STATE SENATE,8.0,HAROLD N NEFF,REP
STATE SENATE,9.0,DR WARD WYLIE,DEM
STATE SENATE,9.0,LW BEANE,REP
STATE SENATE,10.0,OH BALLARD,DEM
STATE SENATE,10.0,GK WHITE,REP
STATE SENATE,11.0,J ALFRED TAYLOR JR,DEM
STATE SENATE,11.0,JOSEPH R SKAGGS,REP
STATE SENATE,12.0,FRED C ALLEN,DEM
STATE SENATE,12.0,H WARD COOPER,REP
STATE SENATE,13.0,HUNTER M BENNETT JR,DEM
STATE SENATE,13.0,DR RAYMOND J VASSAR,REP
STATE SENATE,14.0,OG HEDRICK,DEM
STATE SENATE,14.0,JOHN F BARR,REP
STATE SENATE,15.0,AL REED,REP
STATE SENATE,16.0,RALPH J BEAN,DEM
STATE SENATE,16.0,DONALD M EYSTER,REP
JUDGE OF THE SUPREME COURT OF APPEALS (FULL TERM),,FRANK C HAYMOND,DEM
JUDGE OF THE SUPREME COURT OF APPEALS (FULL TERM),,WT LOVINS,DEM
JUDGE OF THE SUPREME COURT OF APPEALS (FULL TERM),,FRANK EATON,REP
JUDGE OF THE SUPREME COURT OF APPEALS (FULL TERM),,CHARLES RITCHIE,REP
JUDGE OF THE SUPREME COURT OF APPEALS (UNEXPIRED TERM),,CHAUNCEY BROWNING,DEM
JUDGE OF THE SUPREME COURT OF APPEALS (UNEXPIRED TERM),,ROBERT B MCDOUGLE,REP
STATE TREASURER,,WILLIAM H ANSEL JR,DEM
STATE TREASURER,,HAL F MORRIS,REP
SECRETARY OF STATE,,D PITT O’BRIEN,DEM
SECRETARY OF STATE,,J HOLT BYRNE,REP
US HOUSE,1.0,ROBERT H BOB MOLLOHAN,DEM
US HOUSE,1.0,FRANCIS J LOVE,REP
US HOUSE,2.0,HARLEY O STAGGERS,DEM
US HOUSE,2.0,KERMIT R MASON,REP
US HOUSE,3.0,CLEVELAND M BAILEY,DEM
US HOUSE,4.0,MG BURNIE BURNSIDE,DEM
US HOUSE,4.0,DR WILL E NEAL,REP
US HOUSE,5.0,ELIZABETH KEE,DEM
US HOUSE,5.0,CYRUS H GADD,REP
US HOUSE,6.0,ROBERT C BYRD,DEM
US HOUSE,6.0,LATELLE M LAFOLLETTE,REP
AUDITOR,,EDGAR B SIMS,REP
AUDITOR,,BRAD SAYRE,REP
AUDITOR,,JAMES M HATCH,DEM
US SENATE,,HARLEY M KILGORE,DEM
US SENATE,,CHAPMAN REVERCOMB,REP
ATTORNEY GENERAL,,JOHN G FOX,DEM
ATTORNEY GENERAL,,JOHN L MCINTIRE,REP
JUDGE OF CRIMINAL COURT,,ARLOS J HARBERT,DEM
JUDGE OF CRIMINAL COURT,,DOUGLAS H HARNISH,REP
JUDGE OF CRIMINAL COURT,,CHARLES E MILLER,DEM
JUDGE OF CRIMINAL COURT,,J WORLEY POWELL,REP
CIRCUIT JUDGE,1.0,JJP O’BRIEN,DEM
CIRCUIT JUDGE,1.0,J HAROLD BRENNAN,REP
CIRCUIT JUDGE,2.0,LLOYD ARNOLD,REP
CIRCUIT JUDGE,3.0,MAX DEBERRY,REP
CIRCUIT JUDGE,4.0,FORBES R HIEHLE,DEM
CIRCUIT JUDGE,4.0,DONALD F BLACK,REP
CIRCUIT JUDGE,5.0,LEWIS H MILLER,REP
CIRCUIT JUDGE,6.0,JOHN W HEREFORD,DEM
CIRCUIT JUDGE,7.0,C C CHAMBERS,DEM
CIRCUIT JUDGE,8.0,THORNTON G BERRY JR,DEM
CIRCUIT JUDGE,8.0,I MANN LITZ,REP
CIRCUIT JUDGE,9.0,F MORTON WAGNER,DEM
CIRCUIT JUDGE,9.0,HE DEJARNETTE,REP
CIRCUIT JUDGE,10.0,BEN H ASHWORTH,DEM
CIRCUIT JUDGE,10.0,CARL C SANDERS,REP
CIRCUIT JUDGE,11.0,NICKELL KRAMER,DEM
CIRCUIT JUDGE,11.0,PERCY HOUSTON BROWN,REP
CIRCUIT JUDGE,12.0,CHARLES I GARVIN JR,DEM
CIRCUIT JUDGE,12.0,MYRON R RENICK,REP
CIRCUIT JUDGE,13.0,FRANK L TAYLOR,DEM
CIRCUIT JUDGE,13.0,DONALD O BLAGG,REP
CIRCUIT JUDGE,14.0,CHARLES A DUFFIELD JR,DEM
CIRCUIT JUDGE,15.0,J PHILLIP CLIFFORD,DEM
CIRCUIT JUDGE,15.0,KARL B KYLE,REP
CIRCUIT JUDGE,16.0,J HARPER MEREDITH,DEM
CIRCUIT JUDGE,16.0,LT EDDY,REP
CIRCUIT JUDGE,17.0,DON J EDDY,DEM
CIRCUIT JUDGE,17.0,CHARLES G BAKER,REP
CIRCUIT JUDGE,18.0,MELVIN C SNYDER,REP
CIRCUIT JUDGE,19.0,I RAYMOND MURPHY,DEM
CIRCUIT JUDGE,19.0,W MERLE WATKINS,REP
CIRCUIT JUDGE,20.0,STANLEY BOSWORTH,DEM
CIRCUIT JUDGE,21.0,ERNEST A SEE,REP
CIRCUIT JUDGE,22.0,HARLAN M CALHOUN,DEM
CIRCUIT JUDGE,23.0,DECATUR H RODGERS,REP
CIRCUIT JUDGE,24.0,CHARLES W FERGUSON,DEM
CIRCUIT JUDGE,24.0,MOSES G ALLEY,REP
CIRCUIT JUDGE,25.0,KK HALL,DEM
CIRCUIT JUDGE,25.0,JE WILKINSON,REP
CIRCUIT JUDGE,26.0,A JEROME DAILEY,
CIRCUIT JUDGE,26.0,J DOWELL JENNINGS,REP
CIRCUIT JUDGE,27.0,ROBERT M WORRELL,DEM
CIRCUIT JUDGE,27.0,AR KINGDON,REP
JUDGE OF COMMON PLEAS COURT,,H CLAY WARTH,DEM
JUDGE OF COMMON PLEAS COURT,,LUCIAN W BLANKENSHIP,REP
COMMISIONER OF AGRICULTURE,,JB MCLAUGHLIN,DEM
COMMISIONER OF AGRICULTURE,,WM B RHODES,REP
