,office,district,candidate,party
192,STATE SENATOR,14.0,GARY HOWELL,REPUBLICAN
193,STATE SENATOR,14.0,BOB WILLIAMS,DEMOCRATIC
194,STATE SENATOR,13.0,ROMAN W PREZIOSO JR,
195,STATE SENATOR,5.0,STEPHEN L HALL,REP
196,STATE SENATOR,5.0,ROBERT H BOB PLYMALE,DEM
197,STATE SENATOR,8.0,BOB ORE,REPUBLICAN
198,STATE SENATOR,8.0,COREY PALUMBO,DEMOCRATIC
199,STATE SENATOR,17.0,ALAN LONG,REPUBLICAN
200,STATE SENATOR,17.0,DAN FOSTER,DEMOCRATIC
201,STATE SENATOR,12.0,DOUGLAS EUGENE FACOMIRE,DEM
202,STATE SENATOR,7.0,BILLY MARCUM,REPUBLICAN
203,STATE SENATOR,7.0,EARL RAY TOMBLIN,DEMOCRATIC
204,MEMBER OF HOUSE OF DELEGATES,50.0,RUTH ROWAN,REPUBLICAN
205,MEMBER OF HOUSE OF DELEGATES,50.0,ROYCE B SAVILLE,DEMOCRATIC
206,MEMBER OF HOUSE OF DELEGATES,50.0,WRITE INS,
207,MEMBER OF HOUSE OF DELEGATES,51.0,DARYL E COWLES,REPUBLICAN
208,MEMBER OF HOUSE OF DELEGATES,51.0,ROBIN MILLS,MOUNTAIN
209,MEMBER OF HOUSE OF DELEGATES,33.0,LARRY COLE,REP
210,MEMBER OF HOUSE OF DELEGATES,33.0,DAVID WALKER,DEM
211,MEMBER OF HOUSE OF DELEGATES,56.0,BOB TABB,DEM
212,MEMBER OF HOUSE OF DELEGATES,57.0,BETSY DUNGAN,REP
213,MEMBER OF HOUSE OF DELEGATES,57.0,TOMAS ENGLE,REP
214,MEMBER OF HOUSE OF DELEGATES,57.0,JOHN DOYLE,DEM
215,MEMBER OF HOUSE OF DELEGATES,57.0,TIFFANY LAWRENCE,DEM
216,MEMBER OF HOUSE OF DELEGATES,29.0,DANIEL B WRIGHT,REP
217,MEMBER OF HOUSE OF DELEGATES,29.0,MARSHALL W CLAY,REP
218,MEMBER OF HOUSE OF DELEGATES,29.0,STEVEN OLIVER SMITH,REP
219,MEMBER OF HOUSE OF DELEGATES,29.0,TOM LOUISOS,DEM
220,MEMBER OF HOUSE OF DELEGATES,29.0,MARGARET ANNE STAGGERS,DEM
221,MEMBER OF HOUSE OF DELEGATES,29.0,DAVID PERRY,DEM
222,MEMBER OF HOUSE OF DELEGATES,48.0,ALLEN V EVANS,REPUBLICAN
223,MEMBER OF HOUSE OF DELEGATES,48.0,DONNA BRAKE KUHN,DEMOCRATIC
224,MEMBER OF HOUSE OF DELEGATES,5.0,DAVE PETHLET,
225,MEMBER OF HOUSE OF DELEGATES,5.0,DENSIL W SLOAN,
226,MEMBER OF HOUSE OF DELEGATES,42.0,MIKE MANYPENNY,
227,MEMBER OF HOUSE OF DELEGATES,43.0,RICK STARN,
228,MEMBER OF HOUSE OF DELEGATES,43.0,LINDA LONGSTRETH,
229,MEMBER OF HOUSE OF DELEGATES,43.0,MIKE CAPUTO,
230,MEMBER OF HOUSE OF DELEGATES,43.0,TIM MANCHIN,
231,MEMBER OF HOUSE OF DELEGATES,44.0,CINDY FRICH,
232,MEMBER OF HOUSE OF DELEGATES,44.0,HARRY V BERTRAM,
233,MEMBER OF HOUSE OF DELEGATES,44.0,ALEX SHOOK,
234,MEMBER OF HOUSE OF DELEGATES,44.0,ROBERT BOB BEACH,
235,MEMBER OF HOUSE OF DELEGATES,44.0,CHARLENE MARSHALL,
236,MEMBER OF HOUSE OF DELEGATES,44.0,BARBARA EVANS FLEISCHAUER,
237,MEMBER OF HOUSE OF DELEGATES,16.0,GENE RANDALL RHOADES,REP
238,MEMBER OF HOUSE OF DELEGATES,16.0,FRANK DORSEY,DEM
239,MEMBER OF HOUSE OF DELEGATES,16.0,W D KELLEY,DEM
240,MEMBER OF HOUSE OF DELEGATES,31.0,CARRIE WEBSTER,DEMOCRATIC
241,MEMBER OF HOUSE OF DELEGATES,30.0,FRED JOSEPH,REPUBLICAN
242,MEMBER OF HOUSE OF DELEGATES,30.0,EDWARD R BURGESS,REPUBLICAN
243,MEMBER OF HOUSE OF DELEGATES,30.0,TODD CARDEN,REPUBLICAN
244,MEMBER OF HOUSE OF DELEGATES,30.0,VICTORIA CASEY,REPUBLICAN
245,MEMBER OF HOUSE OF DELEGATES,30.0,LANCE BYRON VAUGHAN,REPUBLICAN
246,MEMBER OF HOUSE OF DELEGATES,30.0,EC BUD ANDERSON,REPUBLICAN
247,MEMBER OF HOUSE OF DELEGATES,30.0,JOHN H MILLER JR,REPUBLICAN
248,MEMBER OF HOUSE OF DELEGATES,30.0,NANCY PEOPLES GUTHRIE,DEMOCRATIC
249,MEMBER OF HOUSE OF DELEGATES,30.0,SHARON SPENCER,DEMOCRATIC
250,MEMBER OF HOUSE OF DELEGATES,30.0,BARBARA BOBBIE HATFIELD,DEMOCRATIC
251,MEMBER OF HOUSE OF DELEGATES,30.0,MARK HUNT,DEMOCRATIC
252,MEMBER OF HOUSE OF DELEGATES,30.0,DANNY WELLS,DEMOCRATIC
253,MEMBER OF HOUSE OF DELEGATES,30.0,DOUG SKAFF JR,DEMOCRATIC
254,MEMBER OF HOUSE OF DELEGATES,30.0,BONNIE BROWN,DEMOCRATIC
255,MEMBER OF HOUSE OF DELEGATES,30.0,JOHN WELBOURN,MOUNTAIN
256,MEMBER OF HOUSE OF DELEGATES,32.0,RON WALTERS,REPUBLICAN
257,MEMBER OF HOUSE OF DELEGATES,32.0,TIM ARMSTEAD,REPUBLICAN
258,MEMBER OF HOUSE OF DELEGATES,32.0,PATRICK LANE,REPUBLICAN
259,MEMBER OF HOUSE OF DELEGATES,32.0,CARMELA RYAN THOMPSON,DEMOCRATIC
260,MEMBER OF HOUSE OF DELEGATES,32.0,CHARLES CHARLIE BLACK,DEMOCRATIC
261,MEMBER OF HOUSE OF DELEGATES,32.0,JON W CAIN,DEMOCRATIC
262,MEMBER OF HOUSE OF DELEGATES,42.0,LONNIE L MOORE SR,REP
263,MEMBER OF HOUSE OF DELEGATES,42.0,MARY M POLING,DEM
264,MEMBER OF HOUSE OF DELEGATES,34.0,BRENT BOGGS,DEM
265,MEMBER OF HOUSE OF DELEGATES,18.0,LARRY W BARKER,DEMOCRATIC
266,MEMBER OF HOUSE OF DELEGATES,19.0,GREG BUTCHER,DEMOCRATIC
267,MEMBER OF HOUSE OF DELEGATES,19.0,JOSH STOWERS,DEMOCRATIC
268,MEMBER OF HOUSE OF DELEGATES,19.0,RALPH RODIGHIERO,DEMOCRATIC
269,MEMBER OF HOUSE OF DELEGATES,19.0,JEFF ELDRIDGE,DEMOCRATIC
270,MEMBER OF HOUSE OF DELEGATES,7.0,LYNWOOD WOODY IRELAND,REP
271,MEMBER OF HOUSE OF DELEGATES,7.0,RON NICHOLS,DEM
272,CIRCUIT JUDGE,,GINA MARIE GROH,D
273,CIRCUIT JUDGE,,GRAY SILVER III,D
274,CIRCUIT JUDGE,,JOHN CHRISTIAN YODER,R
275,CIRCUIT JUDGE,,CHRISTOPHER COMAS WILKES,R
276,CIRCUIT JUDGE,,DAVID HARTLEY SANDERS,D
277,CIRCUIT JUDGE,,MICHAEL DOUGLAS LORENSEN,D
278,CIRCUIT JUDGE,,HARRY PATTON WADDELL,R
279,FAMILY COURT JUDGE,,WILLIAM THOMAS WERTMAN JR,D
280,FAMILY COURT JUDGE,,DAVID PAUL GREENBERG,D
281,FAMILY COURT JUDGE,,SALLY GAVIN JACKSON,D
282,HOUSE OF DELEGATES,53.0,JONATHAN RYAN MILLER,R
283,HOUSE OF DELEGATES,55.0,JOHN OVERINGTON,R
284,HOUSE OF DELEGATES,54.0,WALTER EDWIN DUKE,R
285,HOUSE OF DELEGATES,52.0,CRAIG BLAIR,R
286,HOUSE OF DELEGATES,52.0,MICHAEL KIRK ROBERTS,D
287,HOUSE OF DELEGATES,56.0,ROBERT CARTER TABB,D
288,HOUSE OF DELEGATES,43.0,TIM MANCHIN,DEM
289,HOUSE OF DELEGATES,43.0,MIKE CAPUTO,DEM
290,HOUSE OF DELEGATES,43.0,LINDA LONGSTRETH,DEM
291,HOUSE OF DELEGATES,43.0,RICK STAM,REP
292,HOUSE OF DELEGATES,41.0,RON FRAGALE,DEM
293,HOUSE OF DELEGATES,41.0,SAM CANN,DEM
294,HOUSE OF DELEGATES,41.0,TIM MILEY,DEM
295,HOUSE OF DELEGATES,41.0,RICHARD IAQUINTA,DEM
296,HOUSE OF DELEGATES,42.0,MIKE MANYPENNY,DEM
297,JUSTICE OF THE SUPREME COURT OF APPEALS,,MARGARET LEE WORKMAN,D
298,JUSTICE OF THE SUPREME COURT OF APPEALS,,ELIZABETH D WALKER,R
299,JUSTICE OF THE SUPREME COURT OF APPEALS,,MENIS E KETCHUM,D
300,OVER VOTE,,OVER VOTE,
301,STRAIGHT TICKET,,CONSTITUTION PARTY,C
302,STRAIGHT TICKET,,OCRATIC PARTY,D
303,STRAIGHT TICKET,,MOUNTAIN PARTY,M
304,STRAIGHT TICKET,,UBLICAN PARTY,R
305,US PRESIDENT,,BARACK OBAMA,D
306,US PRESIDENT,,JOHN MCCAIN,R
307,US PRESIDENT,,CYNTHIA MCKINNEY,M
308,US PRESIDENT,,RALPH NADER,U
309,US PRESIDENT,,CHARLES OBADIAH BALDWIN,C
310,U,3,NICK JOE RAHALL II,DEM
311,ÆPRESIDENT,,JOHN MCCAIN,REP
312,ÆPRESIDENT,,BARACK OBAMA,DEM
313,ÆPRESIDENT,,CYNTHIA MCKINNEY,MTN
314,ÆPRESIDENT,,RALPH NADER,
315,ÆPRESIDENT,,CHUCK BALDWIN,CON
316,ÆPRESIDENT,,WRITE INS,
317,�PRESIDENT,,JOHN MCCAIN,REP
318,�PRESIDENT,,BARACK OBAMA,DEM
319,�PRESIDENT,,CYNTHIA MCKINNEY,MTN
320,�PRESIDENT,,RALPH NADER,
321,�PRESIDENT,,CHUCK BALDWIN,CON
322,�PRESIDENT,,WRITE INS,
