office,district,candidate,party
HOUSE OF DELEGATES,16.0,TOMMY SMIRL,R
HOUSE OF DELEGATES,16.0,KELLI SOBONYA,R
HOUSE OF DELEGATES,17.0,DON C PERDUE,D
HOUSE OF DELEGATES,17.0,RICHARD THOMPSON,D
HOUSE OF DELEGATES,17.0,LISA PEANA,R
HOUSE OF DELEGATES,18.0,LARRY W BARKER,D
HOUSE OF DELEGATES,18.0,GARY A DOLIN,R
HOUSE OF DELEGATES,19.0,JEFF ELDRIDGE,D
HOUSE OF DELEGATES,19.0,TED ELLIS,D
HOUSE OF DELEGATES,19.0,LIDELLA W HRUTKAY,D
HOUSE OF DELEGATES,19.0,RALPH RODIGHIERO,D
HOUSE OF DELEGATES,19.0,JEFF COOK,R
HOUSE OF DELEGATES,19.0,ELIAS C GREGORY,R
HOUSE OF DELEGATES,19.0,BILLY MARCUM,R
HOUSE OF DELEGATES,20.0,K STEVEN KOMINAR,D
HOUSE OF DELEGATES,21.0,HARRY KEITH WHITE,D
HOUSE OF DELEGATES,21.0,JAMES SAUNDERS,R
HOUSE OF DELEGATES,22.0,RICHARD BROWNING,D
HOUSE OF DELEGATES,22.0,MIKE BURDISS,D
HOUSE OF DELEGATES,22.0,JACK E FINCHAM,R
HOUSE OF DELEGATES,23.0,CLIF MOORE,D
HOUSE OF DELEGATES,24.0,EUSTACE FREDERICK,D
HOUSE OF DELEGATES,24.0,DOUGLAS C QUESINBERRY,R
HOUSE OF DELEGATES,25.0,PAIGE FLANIGAN,D
HOUSE OF DELEGATES,25.0,MARSHALL C LONG,D
HOUSE OF DELEGATES,25.0,JONATHAN HALL,R
HOUSE OF DELEGATES,25.0,THOMAS MIKE PORTER,R
HOUSE OF DELEGATES,26.0,GERALD L CROSIER,D
HOUSE OF DELEGATES,26.0,DUANE MILLER,R
HOUSE OF DELEGATES,27.0,MELVIN MEL KESSLER,D
HOUSE OF DELEGATES,27.0,VIRGINIA MAHAN,D
HOUSE OF DELEGATES,27.0,KEVIN L MAYNUS,D
HOUSE OF DELEGATES,27.0,RICKY MOYE,D
HOUSE OF DELEGATES,27.0,RON THOMPSON,D
HOUSE OF DELEGATES,27.0,CHUCK CARPENTER,R
HOUSE OF DELEGATES,27.0,RON HEDRICK,R
HOUSE OF DELEGATES,27.0,DERECK SEVERT,R
HOUSE OF DELEGATES,27.0,PHILIP L STEVENS,R
HOUSE OF DELEGATES,27.0,LINDA SUMNER,R
HOUSE OF DELEGATES,28.0,THOMAS W CAMPBELL,D
HOUSE OF DELEGATES,28.0,STEVE MALCOMB,D
HOUSE OF DELEGATES,28.0,RAY CANTERBURY,R
HOUSE OF DELEGATES,28.0,FRANK TUCKWILLER,R
HOUSE OF DELEGATES,29.0,DAVID G PERRY,D
HOUSE OF DELEGATES,29.0,JOHN PINO,D
HOUSE OF DELEGATES,29.0,MARGARET ANNE STAGGERS,D
HOUSE OF DELEGATES,29.0,BETTY LILLY,R
HOUSE OF DELEGATES,30.0,JON AMORES,D
HOUSE OF DELEGATES,30.0,BONNIE BROWN,D
HOUSE OF DELEGATES,30.0,LOUIS P CERVON,D
HOUSE OF DELEGATES,30.0,NANCY GUTHRIE,D
HOUSE OF DELEGATES,30.0,BOBBIE HATFIELD,D
HOUSE OF DELEGATES,30.0,COREY PALUMBO,D
HOUSE OF DELEGATES,30.0,SHARON SPENCER,D
HOUSE OF DELEGATES,30.0,DANNY WELLS,D
HOUSE OF DELEGATES,30.0,IRA BOSTIC JR,R
HOUSE OF DELEGATES,30.0,TODD CARDEN,R
HOUSE OF DELEGATES,30.0,KIM HOLMES,R
HOUSE OF DELEGATES,30.0,FRED JOSEPH,R
HOUSE OF DELEGATES,30.0,PHIL RAINES,R
HOUSE OF DELEGATES,30.0,JUDY BOWEN,R
HOUSE OF DELEGATES,30.0,MIKE STUART,R
HOUSE OF DELEGATES,31.0,CARRIE WEBSTER,D
HOUSE OF DELEGATES,31.0,CHARLES MINIMAH,R
HOUSE OF DELEGATES,32.0,JON W CAIN SR,D
HOUSE OF DELEGATES,32.0,LUE CHANDLER,D
HOUSE OF DELEGATES,32.0,JIM FRANCIS,D
HOUSE OF DELEGATES,32.0,TIM ARMSTEAD,R
HOUSE OF DELEGATES,32.0,PATRICK LANE,R
HOUSE OF DELEGATES,32.0,RON WALTERS,R
HOUSE OF DELEGATES,33.0,WILLIAM F BILL STEMPLE,D
HOUSE OF DELEGATES,34.0,BRENT BOGGS,D
HOUSE OF DELEGATES,35.0,SAM ARGENTO,D
HOUSE OF DELEGATES,35.0,PAUL HESS,R
HOUSE OF DELEGATES,36.0,JOE TALBOTT,D
HOUSE OF DELEGATES,36.0,TOM MALCOMB,R
HOUSE OF DELEGATES,37.0,BILL HARTMAN,D
HOUSE OF DELEGATES,37.0,BILL PROUDFOOT,D
HOUSE OF DELEGATES,37.0,BRUCE HADDIX,R
HOUSE OF DELEGATES,37.0,JOAN HINZMAN SHARP,R
HOUSE OF DELEGATES,38.0,DOUG STALNAKER,D
HOUSE OF DELEGATES,38.0,DERRICK W LOVE,R
HOUSE OF DELEGATES,39.0,RYAN THORN,D
HOUSE OF DELEGATES,39.0,BILL HAMILTON,R
HOUSE OF DELEGATES,40.0,MARY M POLING,D
HOUSE OF DELEGATES,40.0,GARRY R TENNEY,R
HOUSE OF DELEGATES,41.0,SAM CANN,D
HOUSE OF DELEGATES,41.0,RON FRAGALE,D
HOUSE OF DELEGATES,41.0,RICHARD J IAQUINTA,D
HOUSE OF DELEGATES,41.0,TIM MILEY,D
HOUSE OF DELEGATES,41.0,DANNY HAMRICK,R
HOUSE OF DELEGATES,41.0,JAY WOLFE,R
HOUSE OF DELEGATES,41.0,GARTH W BECK,Write-In
HOUSE OF DELEGATES,41.0,ELAINE DAUGHERTY,Write-In
HOUSE OF DELEGATES,42.0,MIKE MANYPENNY,D
HOUSE OF DELEGATES,42.0,JEFFERY L TANSILL,R
HOUSE OF DELEGATES,43.0,MIKE CAPUTO,D
HOUSE OF DELEGATES,43.0,LINDA LONGSTRETH,D
HOUSE OF DELEGATES,43.0,TIM J MANCHIN,D
HOUSE OF DELEGATES,43.0,CHUCK MULLETT,R
HOUSE OF DELEGATES,43.0,THOMAS F SMITH,R
HOUSE OF DELEGATES,43.0,RICK STARN,R
HOUSE OF DELEGATES,44.0,ROBERT BEACH,D
HOUSE OF DELEGATES,44.0,BARBARA EVANS FLEISCHAUER,D
HOUSE OF DELEGATES,44.0,CHARLENE MARSHALL,D
HOUSE OF DELEGATES,44.0,ALEX SHOOK,D
HOUSE OF DELEGATES,44.0,CINDY FRICH,R
HOUSE OF DELEGATES,44.0,GEORGE D JOHNSON,R
HOUSE OF DELEGATES,44.0,BRIAN LOUK,R
HOUSE OF DELEGATES,44.0,JIM MANILLA,R
HOUSE OF DELEGATES,45.0,LARRY A WILLIAMS,D
HOUSE OF DELEGATES,46.0,STAN SHAVER,D
HOUSE OF DELEGATES,46.0,DEBORAH DEBBIE STEVENS,R
HOUSE OF DELEGATES,47.0,HAROLD MICHAEL,D
HOUSE OF DELEGATES,48.0,HANK KOPPLE,D
HOUSE OF DELEGATES,48.0,ALLEN V EVANS,R
HOUSE OF DELEGATES,49.0,JERRY L DETRICK,D
HOUSE OF DELEGATES,49.0,ROBERT A SCHADLER,R
HOUSE OF DELEGATES,50.0,ROYCE B SAVILLE,D
HOUSE OF DELEGATES,50.0,RUTH ROWAN,R
HOUSE OF DELEGATES,51.0,GARY LEE NELSON,D
HOUSE OF DELEGATES,51.0,ROBIN MILLS,Mountain
HOUSE OF DELEGATES,51.0,DARYL E COWLES,R
HOUSE OF DELEGATES,52.0,CRAIG BLAIR,R
HOUSE OF DELEGATES,53.0,JERRY L BURTON,D
HOUSE OF DELEGATES,53.0,JONATHAN MILLER,R
HOUSE OF DELEGATES,54.0,WALTER E DUKE,R
HOUSE OF DELEGATES,55.0,JOHN OVERINGTON,R
HOUSE OF DELEGATES,56.0,BOB TABB,D
HOUSE OF DELEGATES,56.0,R EARL WILBOURNE,R
HOUSE OF DELEGATES,57.0,JOHN DOYLE,D
HOUSE OF DELEGATES,57.0,ROBERT MURTO,R
HOUSE OF DELEGATES,58.0,LOCKE WYSONG,D
HOUSE OF DELEGATES,58.0,BOB ADAMS,R
STATE SENATE,1.0,EDWIN J BOWMAN,D
STATE SENATE,1.0,GEORGE VILLAGE III,R
STATE SENATE,2.0,LARRY J EDGELL,D
STATE SENATE,2.0,WAYNE A WEBER,R
STATE SENATE,3.0,J FRANK DEEM,R
STATE SENATE,3.0,LARRY EUGENE BUTCHER,Write-In
STATE SENATE,4.0,JIM LEES,D
STATE SENATE,4.0,MIKE HALL,R
STATE SENATE,5.0,EVAN H JENKINS,D
STATE SENATE,5.0,THOMAS F SCOTT,R
STATE SENATE,6.0,H TRUMAN CHAFIN,D
STATE SENATE,7.0,RON STOLLINGS,D
STATE SENATE,7.0,LARRY LYON,R
STATE SENATE,8.0,ERIK WELLS,D
STATE SENATE,8.0,MARK PLANTS,R
STATE SENATE,9.0,MIKE GREEN,D
STATE SENATE,9.0,RUSS WEEKS,R
STATE SENATE,10.0,FREDERICK L PARKER,D
STATE SENATE,10.0,JESSE GUILLS,R
STATE SENATE,11.0,C RANDY WHITE,D
STATE SENATE,11.0,HAROLD PETE SIGLER,R
STATE SENATE,12.0,JOSEPH JOE MINARD,D
STATE SENATE,13.0,MIKE OLIVERIO,D
STATE SENATE,14.0,A CRAIG ROTRUCK,D
STATE SENATE,14.0,DAVE SYPOLT,R
STATE SENATE,14.0,JOHN R RICK BARTLETT,Write-In
STATE SENATE,15.0,WALT HELMICK,D
STATE SENATE,15.0,JEREMY DONALD BAUSERMAN,Write-In
STATE SENATE,16.0,JOHN UNGER,D
STATE SENATE,16.0,JERRY MAYS,R
STATE SENATE,17.0,BROOKS MCCABE JR,D
STATE SENATE,17.0,ANN CALVERT,R
US SENATE,,ROBERT C BYRD,D
US SENATE,,JESSE JOHNSON,Mountain
US SENATE,,JOHN R RAESE,R
US HOUSE,1.0,ALAN B MOLLOHAN,D
US HOUSE,1.0,CHRIS WAKIM,R
US HOUSE,1.0,BENNIE KYLE,Write-In
US HOUSE,1.0,DAVID MORAN,Write-In
US HOUSE,2.0,MIKE CALLAGHAN,D
US HOUSE,2.0,SHELLEY MOORE CAPITO,R
US HOUSE,3.0,NICK JOE RAHALL II,D
US HOUSE,3.0,KIM WOLFE,R
